Time,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23,Model_24,Model_25,Model_26,Model_27
63.7,24233.43400549417,21705.275792039432,31863.808193291854,22024.24950084646,28401.041200226777,74456.62942429012,23777.7943605661,25638.45806217169,76138.0811786953,30334.036681256097,30455.72898938688,24391.40549447925,31046.35287837094,31486.377624763,28533.525979034155,20693.804672808754,19722.857116550196,38235.06709495917,44334.858980829595,19189.609933085092,22575.06126873014,28323.732044015815,28152.00416820631,28498.508434079973,67778.77559567588,29535.845786309477,22031.515488979458
63.800000000000004,41092.75681155969,39044.245224359925,50982.305716134026,37163.99982587806,46586.78501483098,47587.483812014085,39260.3162760066,41976.59667059727,69301.8397273167,49195.47218568186,47931.25833040901,41220.15236030557,49131.64957982658,49545.772764340385,45834.25124810054,36369.197513281804,33699.429314862806,56160.74281364771,64436.221188346055,34420.78014276371,37216.469926823615,46422.99612545131,46344.41923769132,45914.2714209335,26677.608894251138,47702.8143920848,37171.959995885765
63.900000000000006,65240.64372704118,64518.8034179829,72012.39443518776,61132.29280247415,69328.3287544875,29251.936740876157,62767.607817219425,65235.24205890324,56167.0815009131,71072.801079142,69494.72553076305,65275.79644735473,66417.28094459782,70747.23211669318,68250.35902258103,71062.66723548788,41034.69225379657,73906.2870208385,76244.19373647703,59135.397111185004,60587.224835894776,69187.16647747655,69200.24165659174,68355.20349736333,3570.0812533721614,69871.40473136124,61138.48873742445
64.0,64861.02994039074,64661.948677687826,71499.28801615619,63462.28725258176,68864.33076918172,10723.365615499702,61532.084495045645,64135.94429379915,70528.17420204973,70676.74375699459,68280.98893192684,64823.13129554976,53219.75654715988,69821.36448743194,67230.52583788907,73845.94370279009,26072.93678456492,73103.77080127002,76244.4771122727,54799.16921828813,70161.31263306386,68701.10790855392,68764.35042256935,67358.1768321154,1713.581283929312,69202.64216252835,61898.82316704281
64.10000000000001,56091.36263562473,56335.39069553169,47692.12008085389,53708.028457629815,51365.484470661795,56315.51261938192,60410.33272156793,57715.63719996018,35435.13542148274,48699.21947422028,53242.00497962639,56224.947006593895,76176.1299094529,50789.504480007636,54206.03031336024,45527.930656224664,73447.87855564295,45099.008142360544,32038.985194493143,74787.28833221628,37831.90398305808,51606.35836989906,51467.335392647154,54054.126266554886,23.4118192573181,51236.49751711351,48224.00251757021
64.2,1555.1458037388513,1642.0528134290928,1020.1902406681706,1422.1197628446794,1217.0975652248176,20295.711452437783,2099.2262395127736,1798.7475208248648,2297.3461017942686,1051.434432194565,1450.0127411542794,1576.6775154163547,21255.48977065072,1241.3392796182654,1488.871164772374,1856.8238613840592,17995.190891211194,877.5147090884767,373.0826872518144,10877.194743908134,381.88152532703094,1234.111457891819,1221.720908046225,1479.7472699029984,0.023188453009293467,1237.0630634208399,281.62860053592584
64.3,76130.66370785619,75866.13279156676,76170.5048428282,75620.75379156334,76242.934256689,66722.13188836834,75203.69987493764,75704.70487292518,53719.650528599515,76160.98041906512,76057.81851212875,76101.63673901664,15335.60264616038,76233.01899915056,76075.28456723459,64015.60191434184,39713.439580411105,75895.13628752173,72238.42265057702,39071.528479779736,75186.13732907134,76244.62574240977,76243.21197359228,76077.12870377104,7768.58809995307,76243.66000986451,49520.31152572583
64.4,8160.207775266784,19374.9729268821,31009.598400181992,13871.118087270243,14799.447784428416,7192.9130583117585,18878.42723963563,17849.085525697432,71349.88270193338,14120.301670264646,17317.993481254718,36510.20693107857,63873.88936797723,15956.906572541537,16845.337257670366,26470.056126897623,59715.708001377825,13087.523734124032,9487.473561297127,72968.47223782573,26805.686579930665,14871.367703984402,10325.853297281918,16900.867115487865,25.544697318882626,6132.970230001208,1890.033741247169
64.5,55187.037790240654,74083.14881514697,31630.6285531988,73072.85824616691,76055.08735606787,35626.85033130991,75174.09066321792,75388.31264773762,9122.961800789813,76107.08024709117,75212.78016409579,28092.64599498244,577.1601913480193,75639.60972434418,75528.17710179884,76158.68161387839,39735.32965355598,76223.77556473471,76196.36814904174,10155.060730366813,40867.69518857235,76048.80037923099,69827.50925381496,75482.0758381191,2964.175027438503,50488.77479774166,61607.215247465545
64.60000000000001,14435.261362946272,73176.7192048495,10789.626455382522,67043.03724815417,64642.71933337073,4055.503030512207,72908.11644260808,75298.4576890833,6359.341597947458,74728.65796740506,75767.94776914518,12066.547552536613,180.2838902585924,75494.70755852073,75694.98785323565,72028.10120140754,54442.88421279009,66238.50298217223,75789.30432502701,6977.368320240894,22002.532199547124,74636.81236541174,55623.96069673262,75471.85986928988,51.533004386846976,5506.110445084078,19021.297785260787
64.7,2498.569032159854,61587.95699995083,304.1520238163827,72876.04686570208,42592.145399695415,444.9670117954144,50208.61545268653,75174.5658595271,2830.732519857527,75270.69160375033,75908.19171335248,9498.51771926565,8.872671298392145,75777.55889712296,75607.80328670079,75126.26335938761,55665.17436640348,52844.62326445434,75743.51488532042,2266.344684368342,16611.308832384988,74969.24986458609,57586.993085332026,75602.68700806389,50.834096974778376,176.63507531349958,1833.8001727228877
64.8,300.87000417061364,60715.38207879154,0.07852488795214271,72401.5986146623,36357.12818497497,272.5792398523122,10783.324847465345,74232.41781565962,1179.5128386377244,73140.06485177237,72242.69568216866,7938.626542055933,1.8345800342706537,72341.87472977131,74769.4182700065,69673.55619817233,38719.203382020154,58006.570403245714,59313.83672116636,777.0638020953935,8683.150930822665,73912.76407543244,74474.90202584918,73112.30720924234,873.3428845189342,18.070903500430177,179.15362926713226
64.9,1846.5175678356907,69677.09905546153,0.0007001260915292716,37984.733010987795,44292.49235645953,2946.6737599825524,360.76701114613144,50268.98245972265,208.34479636401247,45550.20296526158,45022.52394875598,2907.5005142667897,4.307037404703323,44634.549402265024,58127.513452433755,34237.93246857694,15065.719228750504,73735.83178662999,23851.22041242438,200.20238810209145,7307.051724222186,47969.47333912592,61771.82842305775,46818.22056878064,6204.235849166663,249.7350001264197,6.510589855930465
65.0,0.4761168456301896,814.7392879241376,258.60436998152363,50852.814581194994,30.241478363075174,0.4655148466206108,11550.287314312152,33680.481032555115,46985.42433060889,39911.91761889826,39109.31477089178,74370.10474975602,11406.337464693303,40025.51772840434,19468.38472197397,54082.27828197048,68767.80450600923,2980.5892461827043,63664.922889129186,53621.76943051095,57329.77317928264,37113.89488040053,31587.56606500482,37475.8708907403,12.641763190810941,0.2329306855023105,2.140153801271025e-05
65.10000000000001,151.59910498784737,13947.295146188673,15.528539577660654,62322.090716354294,615.9722663137493,234.2306561414099,15.721363682772443,74432.94341837712,12707.02405165975,70696.4294957049,71883.00135506206,60758.65255291034,46.23888358703646,71100.81399497697,70738.66369606322,59873.104775250955,48157.98745719722,44655.93936714589,51168.02861862018,9572.47741497771,67899.73219465345,72422.9031543713,70469.33983369468,72627.33133632099,4844.36377043491,531.9166016871037,2.7387121400946506
65.2,4.688254060602633,1545.1662263536819,171.27994499228254,75410.33261575711,5.1825930580203465,23.78289579622055,127.766706972225,74188.09965078894,56361.862399424725,76161.75509918424,75726.37626008164,75499.03262324136,417.8555204399033,76012.41634843967,42355.44214304249,74741.1792999255,70351.4803065319,24244.812736403022,71207.6736829179,29568.607711874905,75540.68498512347,75731.56560621063,75208.7816804077,75487.27657121388,4805.385230209357,900.3303491934391,7.899274164301044
65.3,4236.8071123863265,48324.74719365955,0.4316798342547474,13005.837698169404,3120.0924608677146,11239.137889231772,0.12716988894521375,21377.957092214438,6437.71767833692,15436.60581062519,18055.544402290823,19739.316305335502,1.0357694774194481,16735.71337101467,66872.59552802492,11970.235956054157,8252.187140184667,66649.01287909692,8947.398617143106,934.7430735088974,25320.463449488172,17346.301118797208,6858.2720275608,18548.54811090372,72111.36467208584,58829.433847076485,13235.515493636582
65.4,749.4098919938081,14460.60454504937,908.5573004009201,59773.7377809963,327.73795760019897,2871.646074434603,39.2213233363203,65212.38881947437,47620.3516127802,57783.86734580357,62093.452660501796,52057.36300526121,471.89504850528283,60198.69943174477,58734.484564993756,58202.76621078256,49016.68491223021,70978.99106580981,52698.7577004598,18009.465384777544,75254.90936200286,60286.03828645421,31696.278526401788,62346.82413871124,55504.3635676257,24587.362944340945,3988.0592639527304
65.5,9.940100726063651,708.1006047110272,65092.29521026167,47996.438283082825,1.0580862635270003,86.24427485440752,8879.248176223207,50082.95566921974,61546.71815005065,57541.58286475568,52622.83698773356,76025.13195451087,50073.64432890699,54694.6851097013,4865.054634266329,49458.78050739146,60690.561488967876,16194.617847011723,54299.73192961634,76174.13746920128,18802.997711258093,55426.95824093963,75120.73817297161,52783.694233963804,24816.15098549138,3490.4048598128097,157.97043590642565
65.60000000000001,0.11840816706117022,28.720264409092742,22833.910266779993,4531.712250462572,0.0031035081882684833,0.17856671523528828,68756.95675732945,7945.292092228162,13018.13707824822,10532.46502524587,8397.887896622691,64878.35791914382,56724.00139206622,9172.943714628325,101.82063070637048,4830.934292645275,9815.260577222261,1113.7268936054186,5956.213945281204,11291.970563697769,344.99219094418993,9829.820841121047,26188.72691127552,8633.57694163378,13901.780573305261,1370.1786685306477,1.7129316455399657
65.7,211.8940717478909,7696.915067041154,49708.35814899082,39147.14666678476,17.37531109604868,151.95761362334548,35403.37520563304,59764.77007572156,68325.49803221031,63716.87291101536,59569.087962555706,18358.552533482307,71939.74906806182,61058.42963424031,3290.459498325837,40194.478427452916,58473.437689574734,27168.72769443211,43751.68030746764,20736.91220828946,11468.748585991461,63008.65175445032,75705.89286910847,60481.743000070404,68836.33228630888,73546.41842528862,141.30408312277362
65.8,75030.63561265975,65215.044467392785,54205.8452951647,43752.63116763637,33210.51935184986,50829.14386867469,1111.7822834666308,17827.218328549356,13324.088578297476,16223.5046984395,18912.71030748019,0.37923618876718074,3246.1842700871794,18061.155699085288,76140.79129171078,42844.71553842997,22742.530800514058,73033.68712758525,39816.015264104164,70086.24033860365,40062.48396458219,16260.880157471305,6619.441503676585,18002.395200804494,94.19713429669095,739.7191616953664,14015.388964482237
65.9,46497.82797889141,35671.060172582875,20255.886852309835,42030.41225519027,469.66190589835327,3081.2492168390636,74893.72118752575,73421.81345914406,74109.28558018833,73560.20552256967,72022.23436992732,65.66075777167771,71501.78298137937,72424.45208583646,13262.825400075119,42803.18878645038,66495.0791698631,6792.849701813062,45411.662550394656,1066.35247548137,59255.792305186864,73860.65438881396,75058.13378863211,72825.97095988075,4666.093176442786,13734.96381834953,60.492068966196264
66.0,9903.76441094566,65386.555409833134,74291.06227937687,68369.13641676077,21783.18883686024,68430.05758601637,48784.844838308505,28279.99016732229,34237.22148095975,29920.03381227627,31821.158260692686,0.0011786150587733653,12328.58007968917,31592.843690976406,76245.54341456138,67905.2382265814,42296.785809938454,48235.884414538246,66268.88650977553,29127.04599169911,48870.22428795229,28643.90088309804,14445.453259375603,30250.21057865098,20.79839195078622,108.98463998030036,15409.878719973814
66.10000000000001,12183.782491693672,51423.52370944064,15172.780520591872,42184.542369761104,120.68635611397073,23308.331049631324,27238.70057231813,76044.40001255448,69461.26303776754,75302.0116159219,75062.80001976115,6.712872721040277,72216.82176602379,74977.23672054184,33109.94642955224,42747.569067979945,69158.15539756569,1504.0545723387431,44646.371852684395,2010.5604534663976,64648.364010727484,75763.04398368149,72402.49911548555,75518.52207890642,3730.311046166095,10813.811856930479,813.9098160164685
66.2,343.6777970314487,65676.39643174106,30706.3440088343,57298.22283631686,492.13867774758364,56385.84687072814,14004.668261038907,73380.139630455,72542.93588332928,75358.89670553485,75254.9505817026,1.6942981773515615,63326.2765870187,75458.01590065515,56664.476145624605,57749.873209983765,75796.09439600183,1920.8319339704606,59246.59915368962,9071.363765637023,74633.46306802267,74603.2408643235,61316.62751059445,74761.01958346035,12485.682856279122,14550.564022333365,14241.317260355045
66.3,7.856087269723838,72583.8655195559,74987.39890482502,74954.57812510413,4690.674553978694,71892.4600718442,42133.466567342286,38190.383692374126,71612.66808845112,45242.60763698419,43590.03170951666,0.5144411291161533,26130.14012283403,44868.83671450983,73257.84411248096,74828.03308985762,55190.802329330174,18758.81525072721,74360.842148539,73077.38369003603,56088.44441864333,42354.76654406784,22769.856906319248,42098.916745953444,25613.22375152381,15825.170159582125,74326.96543017657
66.4,14629.754151953282,15954.924448418158,9967.916993357505,16648.520627127506,0.32189974227667617,23275.890275316247,853.188755983316,53044.41949778807,13029.707252410702,45032.775366709284,47819.66289696298,10731.861760960785,64101.09601286588,46158.72384989706,20914.728286936006,16870.7973621394,37908.417200204014,367.97864752031956,17632.34356756803,20165.959545416237,42422.64474485093,48056.6670758037,68090.94698573745,49028.27404943751,42818.02149134076,53267.52055972195,12603.083518871614
66.5,487.48056309960356,75063.67592812717,74662.560927299,76138.91618920278,36.43792395340914,74347.26450511006,40297.3562455624,55538.7653612736,70475.42614785985,63184.96205004192,59940.81500441517,696.950735146031,37946.57889682874,61649.41131173963,75278.34828285241,76111.10248096676,66186.67800306003,62087.62238736782,75994.14194109486,68343.40954350657,56121.48401396214,60632.74279196005,37060.0655646431,59173.23920637777,70412.24996135825,64566.336242453064,76196.0019975533
66.60000000000001,2248.9828308317883,63277.971386648016,69227.62558542693,75447.76704812728,17.131878027938384,76128.20119758652,28929.604781761427,70192.13885382161,48329.65616695288,74308.02664648923,72380.12870512814,5598.128608502496,50186.8746389225,73361.71047724347,75658.60425820468,75507.36942306164,74282.93115407617,72929.62427560476,75690.94894681481,74196.18080685461,61774.94922327635,73206.99204198079,49975.604265976806,72158.76117065869,76241.43284450735,75598.89994517603,73574.00636294203
66.7,3883.254822840731,62474.7597022285,73204.39619339502,76011.98753663259,106.91163503033417,76131.6713019956,36589.163867948504,70130.61484334695,48524.33069615322,74011.76785456583,71759.42476460361,9471.740490331242,47207.0054356056,72820.6448674167,76209.48671640546,75982.92733998256,72211.28919124344,76147.71965612576,75872.85984836648,75234.7969115916,49845.98404226814,73046.01597798456,41247.88085077,71763.07314810573,76166.17154597086,75322.30279375728,75640.68956229462
66.8,610.3696379245093,75216.52654218605,61567.0120702264,41423.55220850539,5883.073863153243,48520.67877980897,74388.52284577338,37203.90147852862,73734.11541204424,43552.30029497322,38700.11893617879,886.400867312584,21332.384147379933,40620.307059202,53705.138832988836,41238.61881009854,36024.8064449633,45210.12067780391,40618.22241273162,59383.433320771976,10831.019334869097,41874.41564103481,9107.413908984723,39131.78022824491,49894.743970368494,45833.69437950486,55591.93559170193
66.9,22674.692324039508,24571.561879027915,50368.962296527985,71248.79695593272,60.08399510460433,61465.618512488865,17747.268435984344,66839.85624703151,13797.703191935347,62969.0028173294,66696.72916310345,7449.796264010017,66739.40267823794,65390.43404324449,55057.04456152317,71338.95673039145,70894.66108570462,64549.40491736218,71636.5688418921,29744.987710853307,67236.89291688187,63807.507291083435,76090.13461044747,66057.79308118776,60123.352894468284,62980.4886075975,55888.98294650216
67.0,7108.108100803249,45755.62054235471,71599.88353122224,73461.39484160491,882.117276681546,75473.50881213334,42904.237732637615,75890.96249756064,35346.14330403423,75261.56619987344,76051.06791474413,1991.6763333983552,74536.84015644812,75860.72187967283,72099.18327228895,73402.08286225631,75579.26520144251,75985.65131701546,73198.43308003385,28772.94348357532,47401.23542588666,75330.02888406834,74788.64491265036,75886.18368613812,75170.83001343085,75789.23761889992,73915.00862206094
67.10000000000001,14190.496572403574,67380.12509093557,67578.88977771119,74669.64402502385,400.6323575843307,72424.08258836312,39844.34406998255,71428.73434440077,32658.59475211016,70900.32509530816,72696.16026579063,9770.145286597774,68019.39981450413,72244.82309738305,65417.14027753394,74631.05363391567,76153.25653857391,73129.45552432608,74498.04773030418,18806.46528965559,57438.96993796852,70612.41829459509,75711.6164628905,71957.18816968771,72119.20485070441,73261.8235776973,70358.6522547468
67.2,64611.44396106396,74562.75143325531,23938.717228256133,56121.23424998648,0.14621252678373559,28956.475895117717,9539.845624089356,24575.73981115579,327.77619156897237,25532.19952909177,27485.317718618775,69297.44541371055,21781.23496340801,27142.022100131355,19199.65098694278,56215.45007714289,40298.00352708271,29078.096023274742,56531.36283077356,2137.9329319608573,69534.00461342,24560.832287166366,33947.72589142348,26123.701810412313,29096.09965310722,31006.771142889058,26847.521739136282
67.3,5537.843717481583,17537.22140678893,76106.50608113405,54792.16173830844,58.97937861000293,75354.86929485825,67161.72060241972,76235.79942120315,231.39539850345588,76136.09991300337,76005.86721444485,49393.068239270586,76153.8415577752,75990.63188146082,75459.50859212961,54710.56618874508,70399.17471448347,75593.1360824295,54435.87569178515,52866.602114401285,46549.12944953305,76237.83300745788,74453.83460828499,76175.3268349038,75091.65728968498,74429.83962690749,75638.35117432034
67.4,4589.56841554185,23794.470579324658,76118.98795279354,62172.82115135532,72.38370870091799,76198.44729830003,62062.41242916037,74070.83795673784,0.40551783391350316,75577.55342601275,75571.69190705616,71824.7511213735,74144.129946802,75700.74934372422,71747.90030802265,62110.70118137225,74912.07423975598,76020.73193258577,61901.2625417084,56835.25520564038,59963.42438291571,74975.27519336883,76243.1971397156,75168.31849997908,76244.61080397967,76152.78798301777,76193.22171824957
67.5,5015.3089530563775,57259.8415491025,70190.95007058291,76227.27276198327,184.84613358712068,60844.47707569119,36336.19664139939,51146.984878666655,0.009180468405341537,57371.67501250919,56206.87510870018,12838.279657518537,52459.31457811915,57233.683637083755,46792.80784017824,76229.43771195404,67981.04301003752,58568.80204535426,76235.72047010137,32496.41731297841,76187.93700325882,54811.12975860626,60948.766544949125,54785.38220234464,63052.52714271839,64825.88837647744,61671.05725551216
67.60000000000001,1.3179324775991192,453.78652426543937,8998.194886046786,5462.586108431414,75459.29856622103,17743.104898313984,35975.06300832521,25142.095152584745,376.33578999665366,19506.965059315033,21190.669263651056,75596.01990325094,23702.536864323163,20123.307578834672,28488.07183909529,5448.320984546935,13413.73690827545,19627.933640098425,5400.597038438031,38502.42089731977,5896.027215598529,21571.270846673357,18106.37598836451,22110.261720608534,15738.712114262988,14414.154289254855,16587.177419813623
67.7,3273.352628814861,42575.97367922735,75125.11885690619,72703.64365707962,58557.73833543935,74950.64509831606,63573.82455212671,70922.83308146427,0.6183310236913965,74625.12931517823,73336.93128463841,8564.532988846197,71838.59448212922,74069.75030134254,68500.71885974519,72681.82137543894,76063.70037782782,74010.94733652721,72608.02219213902,62282.65908594444,72730.3589624873,73533.95407097675,74699.16413983238,72920.72426772519,75813.56952170329,76126.47760022501,75583.96491547326
67.8,58.526086845798865,10183.923130901907,15826.100238166458,17121.481062562558,28935.912833588147,30336.034718227063,46098.29556938642,37042.89117622955,1312.9095503951191,29625.056130504545,33287.47598952098,70055.15710147392,36184.79005562903,31505.264643088904,40716.76758292248,17096.949701298003,27410.909141825643,32469.123571353928,19813.537091650614,46966.70348226145,15095.04102905543,32013.79514769082,30955.543512597334,33778.63484008018,26982.155939694385,25003.323366464578,27832.95679254303
67.9,63.21123875693892,10743.233045648292,10247.602338699895,14198.501184705035,17526.82400278964,21005.208495624982,32192.31535560832,24672.011433777498,8733.063114551558,19074.48928388271,22335.91631875552,76201.60673114465,24913.476543112098,20858.632047302366,27826.001036849775,14180.081826863348,20040.855013079046,22299.431612953227,21187.15771549839,32763.345383870583,10171.895753564962,20693.14602001676,21211.37098334261,22422.503468460633,18289.229581163247,16730.02672489793,18867.413382558752
68.0,18810.005709712394,76206.48431609441,75944.88347816173,76239.16028580046,67561.0445492988,74622.52374189881,69204.70293536142,73915.29199728023,213.05594017730266,75801.75979519275,74591.53157410145,21920.072000352484,73140.36106576801,75175.33893092083,72130.99757089686,75525.46963809681,74416.45640052707,74297.6950321747,74037.89916050292,68704.80711263747,66696.37013324336,75430.34373423585,74740.97814201102,74692.68575584856,75622.80809053978,76016.2927896349,75460.48928841474
68.10000000000001,19264.55654802137,70752.02119439351,72756.08070820784,75019.02964609192,46244.79181430779,76081.33068525625,75781.42938033896,75933.43725723683,439.3007669626031,74715.71010776762,75843.6881477903,40580.54605418616,76236.77037811553,75505.52834732109,76244.14300807656,62292.59380244932,76237.11935694495,76079.34429814259,68429.82892067473,75543.88525617144,39046.17302695202,75070.42888558276,75932.56484105787,75717.18483591102,75546.76550694129,74978.40672388008,75678.28765866222
68.2,17566.54739641841,46046.408459083665,59746.446150378266,66054.07206790397,20151.695678210635,67396.68531604375,71118.6314686924,64130.96090620318,2745.009030239288,61250.36847587583,64722.02646643894,66168.69532523156,68078.98018302173,63588.10391487696,67192.55635707469,25291.722584295134,69986.37258630023,66645.3139750162,21106.211285231762,72121.7788429724,13694.21025752544,61657.257007997425,65878.5475829192,63872.43556340808,65422.84483006293,63840.16786799312,65836.64015826164
68.3,28835.02297513336,73492.34894376143,72925.4632326398,68016.79987354588,52.11248157651641,68386.23645507598,65797.29492640145,72604.44980619894,464.92004046643734,73293.15607111061,71578.00759992797,30283.292880059158,68624.92661018169,72108.16552419601,70474.28726046515,58586.850324238105,64683.12855813389,69718.65072044033,54566.39037598175,63697.1842172864,51437.79276556886,73404.64315578344,70277.48536500214,72280.17329653152,69615.93136411488,70655.54217589635,69321.38332241242
68.4,10788.278470894747,20117.82454835181,75291.49023326511,76243.69155285574,183.64756904863404,76224.28451861843,76239.43510084375,74249.19579150785,3840.236633217397,74443.90537046107,75228.23201379328,57436.863509590796,76125.28310444884,75082.79084349859,75390.48296627284,36863.99179232766,75872.90815925816,75962.25531758528,33682.983355291624,75955.50009819075,12909.803397401933,74094.81154155999,75840.25645851341,74786.10539595164,76169.82349334615,76041.38415604952,76195.58153930715
68.5,44505.34450919285,12890.320444276318,59720.87055773726,54517.98364333843,30.785532618377093,55331.728989940595,55216.2789855823,65430.30769389202,4906.077199583817,63411.153146921606,62168.025559432535,27038.633961372885,57665.93308110107,62197.96242475174,62634.24531274101,73037.51500027173,49521.21654093546,58753.45354047798,64886.41208950739,51057.08890234112,16915.32988967249,64701.992875194795,59376.3563468987,63521.2140992997,55381.85346605154,56268.61125065999,55064.29770293431
68.60000000000001,2631.882551319639,0.6188470216361448,44640.64757728681,46818.643884528894,29641.845148117765,47791.27046809663,46753.176321813844,35353.61286880741,43954.670873328236,39483.600073694826,39796.03728661344,71036.82433628195,44613.82345021105,40244.43324020506,38259.50236867857,11406.65374999659,53485.4995679262,43614.38074246019,20778.10229063739,51669.76789938762,71.09870024592601,37438.59886050137,43031.92062273426,38245.964087840344,48644.696955169486,48134.781779250865,48926.412761172774
68.7,71466.41294858507,802.4262319978643,48750.99781630306,41271.66944087094,3513.2765718237247,47123.919733350376,48924.211126855094,59717.63869517396,72959.074024531,54303.32270210051,55116.75712664,24876.649355489277,50717.44918674373,54235.29690197642,57391.29709821669,75770.77789502678,41977.07655237333,51570.56793329331,34617.681207520574,43495.25391867931,19271.06741802925,56679.28743941349,52053.85143853048,56517.800682567715,45431.437922098245,45522.028487391945,45190.346325935294
