time                   ,dt                   ,Center (x-axis) ,Center (y-axis) ,box width ,box height ,center_y_corrected ,mean_y
   4.790869599906728   ,0.063083             ,      384.00064 ,      314.74347 ,45.138428 , 45.16983  ,15.8338614         ,   
   4.856385000050068   ,0.0655154            ,      383.74878 ,      320.93445 ,45.094727 , 45.4234   ,9.6428814          ,   
   4.917431199923158   ,0.0610462            ,      383.56436 ,      329.6032  ,44.8667   , 46.122375 ,0.9741314          ,   
   4.978594599990174   ,0.0611634            ,      383.38794 ,      338.26953 ,44.810364 , 45.861023 ,-7.6921986         ,   
   5.040967900073156   ,0.062373300082981586 ,      382.6247  ,      345.09564 ,45.44223  , 45.27237  ,-14.5183086        ,   
   5.1033838000148535  ,0.0624159            ,      382.31628 ,      348.82797 ,45.11505  , 45.007324 ,-18.2506386        ,   
   5.1688113999553025  ,0.0654276            ,      381.92383 ,      348.055   ,45.177917 , 44.51303  ,-17.4776686        ,   
   5.228352400008589   ,0.059541             ,      381.39545 ,      343.03546 ,45.00943  , 44.062164 ,-12.4581286        ,   
   5.290666500106454   ,0.062314100097864866 ,      380.82355 ,      335.84613 ,45.172028 , 43.989838 ,-5.2687986         ,   
   5.352059199940413   ,0.0613927            ,      380.72827 ,      327.10034 ,45.053406 , 44.501617 ,3.4769914          ,   
   5.414422200061381   ,0.062363             ,      380.1271  ,      319.93134 ,44.598633 , 43.752594 ,10.6459914         ,   
   5.462556299986318   ,0.0481341            ,      379.47162 ,      314.2063  ,44.72177  , 44.16864  ,16.3710314         ,   
   5.512926500057802   ,0.0503702            ,      379.07318 ,      312.9524  ,44.570465 , 44.41873  ,17.6249314         ,   
   5.569664299953729   ,0.0567378            ,      378.71948 ,      316.17114 ,45.095398 , 45.242645 ,14.4061914         ,   
   5.618639100110158   ,0.0489748            ,      378.3993  ,      322.6054  ,44.96344  , 45.62195  ,7.9719314          ,   
   5.680631            ,0.0619919            ,      378.19342 ,      331.62463 ,44.47769  , 45.049255 ,-1.0472986         ,   
   5.7314055           ,0.0507745            ,      378.00763 ,      340.47205 ,44.729095 , 45.371887 ,-9.8947186         ,   
   5.795957800000906   ,0.0645523            ,      377.96503 ,      346.15448 ,44.525482 , 44.62857  ,-15.5771486        ,   
   5.853690600022674   ,0.057732800021767616 ,      378.24628 ,      348.77142 ,45.136627 , 45.10977  ,-18.1940886        ,   
   5.902223400073126   ,0.0485328            ,      378.44653 ,      347.3531  ,45.09735  , 44.21866  ,-16.7757686        ,   
   5.967372999992222   ,0.0651496            ,      378.88998 ,      341.97668 ,44.700684 , 43.914368 ,-11.3993486        ,   
   6.030185099923983   ,0.0628121            ,      379.38504 ,      333.49384 ,44.93042  , 44.080475 ,-2.9165086         ,   
   6.093260599998757   ,0.0630755            ,      379.8946  ,      325.11572 ,45.207184 , 44.21457  ,5.4616114          ,   
   6.154735600110143   ,0.061475             ,      380.4973  ,      318.47507 ,45.60089  , 44.17932  ,12.1022614         ,   
   6.214591600000858   ,0.059855999890714884 ,      381.0266  ,      313.7762  ,45.7912   , 44.651367 ,16.8011314         ,   
   6.2630411           ,0.0484495            ,      381.6811  ,      313.54694 ,45.78531  , 45.161774 ,17.0303914         ,   
   6.3270892           ,0.0640481            ,      382.43213 ,      317.6458  ,45.482605 , 46.190765 ,12.9315314         ,   
   6.391328900121152   ,0.0642397            ,      382.89746 ,      324.84235 ,45.777832 , 45.75479  ,5.7349814          ,   
   6.453455700073391   ,0.0621268            ,      383.58633 ,      333.40616 ,45.805664 , 46.238525 ,-2.8288286         ,   
   6.514919999986887   ,0.0614643            ,      384.22015 ,      342.11115 ,45.685883 , 45.363678 ,-11.5338186        ,   
